entry_id,violent_external,extra_ritual_group_markers,year_from,world_region,year_scaled
173,0,0,90,Southwest Asia,-0.9587149084187443
174,1,0,50,Southwest Asia,-0.9958113759765214
180,0,1,-350,East Asia,-1.366776051554292
212,0,0,-481,East Asia,-1.4882669828060118
217,0,0,-202,Europe,-1.2295191215905168
222,1,1,600,North America,-0.4857349470570868
230,1,0,-3300,Southwest Asia,-4.102640533940351
231,0,0,-600,Europe,-1.5986289737903987
257,0,1,250,North America,-0.810329038187636
284,0,1,-3500,Oceania-Australia,-4.288122871729236
354,0,0,-330,Southwest Asia,-1.3482278177754035
381,0,0,1469,South Asia,0.32018581063561985
389,0,0,1840,Southeast Asia,0.664255547234002
392,1,1,1606,South Asia,0.4472412120210063
400,0,0,1980,Southeast Asia,0.7940931836862218
415,0,1,1970,South Asia,0.7848190667967775
419,0,0,1970,South Asia,0.7848190667967775
422,0,1,-1500,Europe,-2.4332994938403827
424,1,0,-550,Southwest Asia,-1.5522583893431772
441,0,0,1690,South Asia,0.5251437938923381
442,0,0,311,Africa,-0.7537569251620261
456,0,1,-165,Southwest Asia,-1.195204889099573
469,0,0,1916,East Asia,0.7347388355937785
476,1,1,1000,Southeast Asia,-0.11477027147931618
483,0,1,2015,Europe,0.8265525927992767
484,0,0,2015,Europe,0.8265525927992767
485,1,1,500,Europe,-0.5784761159515295
486,0,0,1830,North America,0.6549814303445578
490,0,1,1260,Europe,0.1263567676462347
492,1,1,-800,Europe,-1.784111311579284
520,1,1,1600,Southeast Asia,0.44167674188733974
525,0,0,1951,Africa,0.7671982447068334
526,0,0,1900,Southeast Asia,0.7199002485706677
534,1,0,-42,Europe,-1.0811332513594085
562,1,0,1017,South Asia,-0.09900427276726093
563,0,0,1845,South Asia,0.6688926056787242
564,1,1,1950,South Asia,0.766270833017889
567,0,0,2001,Europe,0.8135688291540547
570,1,0,1986,Southeast Asia,0.7996576538198884
580,0,1,1700,South Asia,0.5344179107817824
581,0,1,1970,Southeast Asia,0.7848190667967775
590,0,0,670,East Asia,-0.4208161288309769
592,0,1,1200,South Asia,0.07071206630956912
602,1,1,1930,Africa,0.7477225992390005
604,0,1,1890,Africa,0.7106261316812235
608,1,1,1926,Southwest Asia,0.7440129524832227
623,0,1,1893,North America,0.7134083667480567
624,1,0,1550,South Asia,0.3953061574401184
629,0,0,1200,South Asia,0.07071206630956912
630,1,1,1886,Oceania-Australia,0.7069164849254457
632,1,0,-650,Europe,-1.64499955823762
633,0,0,1238,South Asia,0.10595371048945733
645,0,1,1100,South Asia,-0.022029102584873526
649,0,0,700,South Asia,-0.39299377816264414
654,1,1,1198,Europe,0.06885724293168027
661,0,1,1113,Europe,-0.009972750628595983
667,0,1,1855,East Asia,0.6781667225681685
676,0,1,1198,Europe,0.06885724293168027
680,0,0,1850,South Asia,0.6735296641234464
685,0,1,1940,Southeast Asia,0.7569967161284448
688,0,0,1866,South Asia,0.6883682511465572
690,0,0,1880,South Asia,0.7013520147917791
711,1,1,1912,Oceania-Australia,0.7310291888380008
714,0,1,550,South Asia,-0.5321055315043081
719,0,0,1845,North America,0.6688926056787242
726,0,1,-700,South Asia,-1.6913701426848413
727,1,1,1160,Southeast Asia,0.03361559875179206
729,1,1,1895,Africa,0.7152631901259455
732,1,1,1800,Oceania-Australia,0.6271590796762251
739,1,0,1885,Oceania-Australia,0.7059890732365013
745,1,1,1860,Oceania-Australia,0.6828037810128906
749,0,1,1800,East Asia,0.6271590796762251
755,1,1,1850,Central Eurasia,0.6735296641234464
770,1,0,1920,Southeast Asia,0.7384484823495562
788,0,0,-1500,Southwest Asia,-2.4332994938403827
794,1,1,1840,North America,0.664255547234002
834,0,0,1982,Southeast Asia,0.7959480070641106
841,0,1,1073,South Asia,-0.047069218186373045
842,0,0,1730,North America,0.5622402614501152
846,0,1,645,East Asia,-0.44400142105458756
848,0,1,-200,Southwest Asia,-1.227664298212628
849,0,0,1750,North America,0.5807884952290037
850,1,1,-600,Europe,-1.5986289737903987
851,1,1,1899,North America,0.7189728368817233
854,1,1,-400,Europe,-1.4131466360015132
857,0,0,1738,Africa,0.5696595549616705
858,1,1,165,Europe,-0.8891590317479123
859,0,0,135,Europe,-0.9169813824162452
862,0,0,1907,South Asia,0.7263921303932787
863,0,1,-550,Europe,-1.5522583893431772
867,0,1,1200,South Asia,0.07071206630956912
869,1,1,855,East Asia,-0.24924496637625804
870,0,1,1990,Central Eurasia,0.8033673005756661
871,0,0,1848,North America,0.6716748407455575
877,0,0,1989,Southeast Asia,0.8024398888867217
879,0,0,1860,Africa,0.6828037810128906
880,1,1,1870,Southwest Asia,0.6920778979023349
882,0,0,-450,Europe,-1.4595172204487346
883,0,0,1949,Central Eurasia,0.7653434213289446
884,1,0,1907,Africa,0.7263921303932787
885,0,1,-1960,Africa,-2.859908870754819
886,0,1,1990,Europe,0.8033673005756661
887,0,1,1990,Central Eurasia,0.8033673005756661
891,0,1,1956,South America,0.7718353031515556
892,0,0,1960,North America,0.7755449499073332
896,0,0,800,East Asia,-0.30025260926820146
897,0,1,1928,East Asia,0.7458677758611116
900,1,1,-150,Southwest Asia,-1.1812937137654067
906,0,0,1963,Europe,0.7783271849741665
910,0,0,1968,North America,0.7829642434188887
914,0,1,1258,Africa,0.12450194426834586
919,0,0,1995,Europe,0.8080043590203883
921,0,1,1700,South Asia,0.5344179107817824
924,1,1,1853,Africa,0.6763118991902797
927,1,1,0,Southwest Asia,-1.0421819604237428
928,0,0,1860,North America,0.6828037810128906
931,1,0,1580,Europe,0.4231285081084512
933,0,0,144,Europe,-0.9086346772157453
934,1,1,1911,Central Eurasia,0.7301017771490563
935,1,0,1910,Africa,0.7291743654601119
938,1,0,-1600,Southwest Asia,-2.5260406627348253
940,1,0,-31,Europe,-1.07093172278102
941,0,1,1600,East Asia,0.44167674188733974
942,0,0,1816,Africa,0.6419976666993359
943,1,0,1752,North America,0.5826433186068926
944,1,0,1620,Europe,0.4602249756662283
946,1,0,700,South Asia,-0.39299377816264414
949,0,0,1963,North America,0.7783271849741665
950,0,0,1652,Africa,0.4899021497124499
952,0,1,1980,Southwest Asia,0.7940931836862218
953,0,0,1975,South Asia,0.7894561252414997
957,0,0,-800,Europe,-1.784111311579284
958,1,0,1540,Europe,0.38603204055067414
960,0,0,1000,South Asia,-0.11477027147931618
961,0,0,1885,Europe,0.7059890732365013
962,1,1,1400,East Asia,0.25619440409845445
963,1,1,1119,Europe,-0.0044082804949294235
966,1,1,1318,Central Eurasia,0.18014664560501145
967,0,0,1825,Europe,0.6503443718998357
969,0,0,1891,South Asia,0.7115535433701679
971,1,1,500,South Asia,-0.5784761159515295
972,1,0,431,Southwest Asia,-0.6424675224886949
973,1,1,1845,South Asia,0.6688926056787242
974,1,0,1204,Southwest Asia,0.07442171306534683
975,0,0,1980,North America,0.7940931836862218
976,0,0,1187,South Asia,0.05865571435329158
978,0,0,1500,Southeast Asia,0.34893557299289707
980,0,0,1175,East Asia,0.04752677408595846
982,1,1,-499,Southwest Asia,-1.5049603932070115
983,0,0,600,South Asia,-0.4857349470570868
984,0,0,1520,Europe,0.3674838067717856
985,0,0,1108,Europe,-0.014609809073318115
986,0,0,150,Europe,-0.9030702070820787
987,0,0,1600,South Asia,0.44167674188733974
988,0,0,1832,North America,0.6568362537224467
989,0,0,1928,Europe,0.7458677758611116
991,0,0,1944,North America,0.7607063628842224
993,1,0,-712,Europe,-1.7024990829521744
994,1,1,330,Africa,-0.736136103072082
997,1,0,-2950,Africa,-3.778046442809801
1004,1,0,-200,Europe,-1.227664298212628
1006,1,0,-2670,Africa,-3.5183711699053615
1011,1,1,-800,Southwest Asia,-1.784111311579284
1013,1,1,1510,South Asia,0.35820968988234136
1028,1,1,1100,Europe,-0.022029102584873526
1037,1,1,-1100,Africa,-2.0623348182626122
1038,0,1,1644,East Asia,0.4824828562008945
1041,0,0,1600,East Asia,0.44167674188733974
1043,1,1,1500,Southeast Asia,0.34893557299289707
1044,0,0,-141,East Asia,-1.1729470085649067
1060,0,0,1500,East Asia,0.34893557299289707
1069,0,1,-1504,Africa,-2.4370091405961603
1071,0,0,2001,Africa,0.8135688291540547
1076,1,1,1560,South Asia,0.4045802743295627
1083,0,1,1625,South Asia,0.4648620341109504
1087,1,0,969,Europe,-0.1435200338365934
1127,0,0,1890,East Asia,0.7106261316812235
1129,1,0,-700,Europe,-1.6913701426848413
1134,0,1,538,East Asia,-0.5432344717716412
1140,0,0,220,East Asia,-0.8381513888559688
1154,0,0,1500,East Asia,0.34893557299289707
1162,0,0,400,East Asia,-0.6712172848459721
1172,0,1,500,East Asia,-0.5784761159515295
1178,0,0,1997,South America,0.809859182398277
1180,1,1,1600,Southeast Asia,0.44167674188733974
1191,0,1,-300,Africa,-1.3204054671070706
1192,1,1,1945,Southeast Asia,0.7616337745731668
1199,1,1,1905,Africa,0.7245373070153898
1220,1,0,1227,Central Eurasia,0.09575218191106864
1223,0,1,1885,South Asia,0.7059890732365013
1229,0,0,1950,Central Eurasia,0.766270833017889
1231,0,1,1100,East Asia,-0.022029102584873526
1234,1,1,1880,Africa,0.7013520147917791
1241,0,0,1837,East Asia,0.6614733121671688
1247,0,1,1885,North America,0.7059890732365013
1248,0,0,-1972,Southwest Asia,-2.871037811022152
1249,0,0,-294,Europe,-1.314840996973404
1250,0,1,850,Southwest Asia,-0.25388202482098016
1258,1,1,-1000,Southwest Asia,-1.9695936493681694
1259,0,0,1200,Central Eurasia,0.07071206630956912
1268,1,1,360,Southwest Asia,-0.7083137524037492
1279,1,1,1593,Southeast Asia,0.43518486006472873
1281,1,1,1910,Africa,0.7291743654601119
1283,1,1,1500,Southeast Asia,0.34893557299289707
1289,1,1,1500,Southeast Asia,0.34893557299289707
1295,1,0,311,Africa,-0.7537569251620261
1300,1,0,1990,North America,0.8033673005756661
1303,0,0,-1400,Southwest Asia,-2.34055832494594
1304,0,0,1875,North America,0.696714956347057
1307,0,0,1845,North America,0.6688926056787242
1311,0,1,1870,North America,0.6920778979023349
1323,1,1,1910,Africa,0.7291743654601119
1333,0,0,150,Europe,-0.9030702070820787
1335,0,1,1575,Europe,0.4184914496637291
1340,0,1,1957,Europe,0.7727627148405
1344,0,0,1840,East Asia,0.664255547234002
1348,1,0,2012,Southwest Asia,0.8237703577324434
1349,1,0,1124,Central Eurasia,0.00022877794979270897
1352,0,0,2,South Asia,-1.0403271370458538
1370,1,1,1935,Africa,0.7523596576837226
1371,1,1,1979,Southwest Asia,0.7931657719972773
1374,1,1,1560,Europe,0.4045802743295627
1376,0,1,1900,Africa,0.7199002485706677
1386,0,0,1807,East Asia,0.633650961498836
1390,1,1,1855,North America,0.6781667225681685
1392,0,0,360,Southwest Asia,-0.7083137524037492
1396,0,0,-304,Africa,-1.3241151138628484
1397,1,0,400,North America,-0.6712172848459721
1400,1,1,300,East Asia,-0.7639584537404147
1412,0,0,1838,Central Eurasia,0.6624007238561133
1415,1,0,350,Europe,-0.7175878692931934
1419,1,1,-1550,Africa,-2.479670078287604
1420,1,1,1785,North America,0.6132479043420587
1426,1,1,1580,East Asia,0.4231285081084512
1433,0,0,250,Europe,-0.810329038187636
1434,1,1,1912,South America,0.7310291888380008
1436,0,0,320,Southwest Asia,-0.7454102199615262
1441,1,1,1325,North America,0.18663852742762244
1450,1,1,1855,South America,0.6781667225681685
1454,0,0,1337,Europe,0.19776746769495557
1468,0,0,325,Europe,-0.7407731615168041
1474,1,1,1945,South America,0.7616337745731668
1492,1,1,1925,South America,0.7430855407942784
1495,0,0,1997,Europe,0.809859182398277
1511,1,1,1804,Africa,0.6308687264320028
1517,0,0,1936,Africa,0.753287069372667
1522,1,0,1781,Africa,0.6095382575862809
1544,1,0,1596,Europe,0.437967095131562
1555,1,1,1970,Southwest Asia,0.7848190667967775
1570,0,1,1900,South Asia,0.7199002485706677
1574,0,0,-2000,Southwest Asia,-2.8970053383125958
1619,1,0,1200,Europe,0.07071206630956912
1621,1,0,1700,Europe,0.5344179107817824
1626,0,0,-800,Europe,-1.784111311579284
1627,0,0,1978,North America,0.792238360308333
1636,0,0,814,Europe,-0.2872688456229795
1653,1,0,341,Europe,-0.7259345744936933
1654,1,0,1981,Africa,0.7950205953751662
1667,0,0,1850,Africa,0.6735296641234464
1677,1,0,-1650,Southwest Asia,-2.5724112471820466
1689,0,1,1516,Southwest Asia,0.3637741600160079
1690,1,0,843,Europe,-0.26037390664359117
1694,1,0,1054,Europe,-0.06469004027631715
1697,1,0,450,Europe,-0.6248467003987508
1701,1,1,1120,Europe,-0.0034808688059849973
1708,1,0,708,Southwest Asia,-0.38557448465108873
1734,0,0,-1600,South America,-2.5260406627348253
1737,1,1,661,Southwest Asia,-0.42916283403147676
1759,0,1,1195,Africa,0.06607500786484699
1776,0,0,1881,Africa,0.7022794264807236
1777,0,0,1881,Africa,0.7022794264807236
1780,0,0,1881,Africa,0.7022794264807236
1781,0,0,1969,Africa,0.7838916551078331
1791,1,0,1100,Southwest Asia,-0.022029102584873526
1820,0,0,1980,Africa,0.7940931836862218
1829,0,0,1986,Africa,0.7996576538198884
1835,0,1,1948,Africa,0.7644160096400001
1845,0,1,1018,Europe,-0.09807686107831651
1869,0,1,1930,Africa,0.7477225992390005
1872,0,1,1947,Africa,0.7634885979510557
1897,0,1,1951,Africa,0.7671982447068334
1903,1,1,750,Southwest Asia,-0.34662319371542283
1904,1,1,1800,Africa,0.6271590796762251
1908,1,0,1100,East Asia,-0.022029102584873526
1938,0,0,1850,Southwest Asia,0.6735296641234464
1940,0,1,1950,Africa,0.766270833017889
1943,0,1,1990,South America,0.8033673005756661
1961,0,0,1990,Africa,0.8033673005756661
1966,0,0,1972,Africa,0.7866738901746664
1972,0,0,1970,North America,0.7848190667967775
1974,0,0,1989,Africa,0.8024398888867217
1978,0,0,1965,East Asia,0.7801820083520554
1983,0,0,400,Southwest Asia,-0.6712172848459721
1985,0,0,34,Southwest Asia,-1.0106499629996322
1993,1,0,-600,Europe,-1.5986289737903987
1994,0,0,1968,Africa,0.7829642434188887
2000,0,0,1933,Africa,0.7505048343058338
2003,1,0,1914,Africa,0.7328840122158896
2006,0,0,1972,Africa,0.7866738901746664
2009,1,0,-800,Europe,-1.784111311579284
2010,1,1,1240,Europe,0.10780853386734618
2011,0,0,1885,Africa,0.7059890732365013
2016,1,1,909,Southwest Asia,-0.199164735173259
2021,1,0,1905,Africa,0.7245373070153898
2023,1,0,971,Africa,-0.14166521045870456
2038,1,0,1000,Europe,-0.11477027147931618
2048,1,1,777,Africa,-0.3215830781139233
2051,0,0,2022,Southeast Asia,0.8330444746218877
2052,0,0,1992,Africa,0.805222123953555
2054,0,0,1918,Africa,0.7365936589716674
2061,0,1,1800,Africa,0.6271590796762251
2069,1,1,1969,Africa,0.7838916551078331
2070,0,0,2003,Africa,0.8154236525319436
2074,0,0,1905,Africa,0.7245373070153898
2084,0,1,1980,Africa,0.7940931836862218
2089,1,1,1974,Africa,0.7885287135525553
2104,0,0,1700,Africa,0.5344179107817824
2111,1,0,700,Africa,-0.39299377816264414
2114,0,0,1837,Africa,0.6614733121671688
2116,0,0,1804,Africa,0.6308687264320028
2122,0,0,1978,Africa,0.792238360308333
2126,0,0,1984,Africa,0.7978028304419995
2133,0,0,1923,Africa,0.7412307174163895
2138,1,0,1916,Africa,0.7347388355937785
2139,1,0,1980,Africa,0.7940931836862218
2147,1,0,1229,Africa,0.0976070052889575
2149,0,1,330,Europe,-0.736136103072082
2160,1,1,250,Southwest Asia,-0.810329038187636
2178,0,1,1918,Africa,0.7365936589716674
2194,0,0,1952,Africa,0.7681256563957779
2203,0,0,-476,East Asia,-1.4836299243612898
2209,0,0,1842,Africa,0.6661103706118909
2210,0,1,1981,Africa,0.7950205953751662
2214,0,1,600,South America,-0.4857349470570868
2228,1,0,1972,Africa,0.7866738901746664
2238,0,0,1700,Africa,0.5344179107817824
2244,1,1,1204,Europe,0.07442171306534683
2245,1,1,652,Europe,-0.4375095392319766
2246,1,0,819,Africa,-0.2826317871782574
2247,1,1,647,Africa,-0.4421465976766987
2248,0,0,1631,Africa,0.47042650424461696
2256,0,0,1700,Africa,0.5344179107817824
2266,0,0,-571,East Asia,-1.5717340348110103
2271,1,0,1964,Africa,0.779254596663111
2273,0,1,1291,East Asia,0.15510653000351193
2274,0,0,1920,Africa,0.7384484823495562
2278,0,0,1700,Africa,0.5344179107817824
2279,0,0,1890,Africa,0.7106261316812235
2283,0,0,283,East Asia,-0.77972445245247
2286,0,1,-3500,South America,-4.288122871729236
2290,0,0,1200,Africa,0.07071206630956912
2297,1,0,1173,Europe,0.045671950708069606
2299,1,0,1100,Southwest Asia,-0.022029102584873526
2308,1,0,711,Europe,-0.38279224958425545
2309,1,1,756,Europe,-0.34105872358175626
2312,1,0,-1800,Africa,-2.7115230005237105
2313,0,0,600,Central Eurasia,-0.4857349470570868
2320,0,1,500,East Asia,-0.5784761159515295
2321,0,0,1992,East Asia,0.805222123953555
2322,1,1,661,Southwest Asia,-0.42916283403147676
2324,0,1,1970,Africa,0.7848190667967775
2325,0,0,-200,East Asia,-1.227664298212628
2327,0,0,1900,Africa,0.7199002485706677
2328,0,0,1991,East Asia,0.8042947122646105
2329,1,1,1937,Southeast Asia,0.7542144810616115
2330,0,0,1893,Africa,0.7134083667480567
2331,1,0,750,Southwest Asia,-0.34662319371542283
2333,0,0,1930,Africa,0.7477225992390005
2339,0,1,1100,Africa,-0.022029102584873526
2346,0,0,1800,Africa,0.6271590796762251
2347,0,0,1222,Africa,0.09111512346634651
2348,1,1,-1200,Southwest Asia,-2.155075987157055
2349,0,0,1738,Africa,0.5696595549616705
2363,1,0,1940,Africa,0.7569967161284448
2365,1,1,1502,Africa,0.3507903963707859
2369,1,0,1787,Africa,0.6151027277199475
2371,0,0,1950,North America,0.766270833017889
